incident_id,incident_date,incident_type,severity,affected_systems,source_ip,destination_ip,attack_vector,impact_score,resolved,resolution_time_hours,detected_by,region,industry
INC066,2024-03-21,Unauthorized Access,Medium,Container Registry,203.0.113.180,10.0.0.115,Token Theft,7.0,TRUE,12,DevSecOps,Asia,Technology
INC067,2024-03-22,Malware,Medium,Print Server,198.51.100.195,10.0.0.116,Print Spooler Exploit,6.2,TRUE,14,Patch Management,South America,Education
INC068,2024-03-23,Ransomware,Critical,Law Firm Network,192.0.2.210,10.0.0.117,Double Extortion,9.4,TRUE,96,Legal IT,North America,Legal
INC069,2024-03-24,Phishing,High,Benefits Portal,203.0.113.220,10.0.0.118,Open Enrollment Scam,7.8,TRUE,16,HR Security,Europe,Insurance
INC070,2024-03-25,SQL Injection,Critical,Online Banking,198.51.100.235,10.0.0.119,Error-based Injection,9.2,TRUE,44,Security Operations,Asia,Finance
INC071,2024-03-26,Data Exfiltration,High,Product Designs,192.168.1.15,10.0.0.120,Email Forwarding,8.5,TRUE,32,DLP,North America,Manufacturing
INC072,2024-03-27,Malware,Low,Marketing Laptop,203.0.113.30,10.0.0.121,Browser Hijacker,3.9,TRUE,6,Antivirus,Europe,Retail
INC073,2024-03-28,DDoS,Critical,Payment Processor,198.51.100.50,10.0.0.122,Amplification Attack,9.3,TRUE,10,Financial Monitor,South America,Finance
INC074,2024-03-29,Unauthorized Access,High,GitHub Repository,192.0.2.65,10.0.0.123,Compromised API Key,8.0,TRUE,18,Secret Scanning,Asia,Technology
INC075,2024-03-30,Ransomware,Medium,Dental Practice,203.0.113.85,10.0.0.124,RDP Brute Force,7.3,TRUE,48,Managed IT,North America,Healthcare
INC076,2024-03-31,Phishing,Medium,Shipping Notification,198.51.100.105,10.0.0.125,Package Delivery Scam,6.5,TRUE,8,Email Gateway,Europe,Logistics
INC077,2024-04-01,Malware,Critical,ATM Network,192.168.1.125,10.0.0.126,ATM Jackpotting,9.7,TRUE,52,ATM Monitor,Asia,Finance
INC078,2024-04-02,Data Breach,High,Employee Portal,203.0.113.140,10.0.0.127,Session Hijacking,8.1,TRUE,28,Security Audit,North America,Technology
INC079,2024-04-03,SQL Injection,High,Reservation System,198.51.100.155,10.0.0.128,Stacked Queries,7.9,TRUE,22,Penetration Test,Europe,Hospitality
INC080,2024-04-04,DDoS,Medium,Forum Platform,192.0.2.170,10.0.0.129,XML-RPC Attack,6.7,TRUE,6,WAF,South America,Community
INC081,2024-04-05,Insider Threat,Critical,Trade Secrets,10.0.0.120,10.0.0.130,Competitor Espionage,9.6,FALSE,NULL,Investigation,Asia,Manufacturing
INC082,2024-04-06,Ransomware,High,Veterinary Clinic,203.0.113.195,10.0.0.131,Phishing Email,8.3,TRUE,60,Backup Recovery,North America,Healthcare
INC083,2024-04-07,Phishing,Low,Social Media Users,198.51.100.210,10.0.0.132,Fake Login Page,4.1,TRUE,5,User Report,Europe,Social Media
INC084,2024-04-08,Malware,High,Kubernetes Cluster,192.168.1.230,10.0.0.133,Container Escape,8.4,TRUE,26,Runtime Security,Asia,Technology
INC085,2024-04-09,Data Breach,Critical,Insurance Claims,203.0.113.245,10.0.0.134,API Exploitation,9.1,TRUE,64,Compliance Team,North America,Insurance
INC086,2024-04-10,Unauthorized Access,Medium,Surveillance System,198.51.100.20,10.0.0.135,Default Password,6.9,TRUE,14,Physical Security,South America,Security
INC087,2024-04-11,DDoS,Critical,Stock Exchange,192.0.2.35,10.0.0.136,Coordinated Attack,9.9,TRUE,15,Exchange Security,Europe,Finance
INC088,2024-04-12,Malware,Medium,Conference Room,203.0.113.50,10.0.0.137,Smart TV Malware,5.7,TRUE,10,IT Support,North America,Corporate
INC089,2024-04-13,Ransomware,Critical,University Research,198.51.100.70,10.0.0.138,Network Worm,9.4,TRUE,88,Research IT,Asia,Education
INC090,2024-04-14,Phishing,High,Tax Season,192.168.1.90,10.0.0.139,IRS Impersonation,7.7,TRUE,12,Email Filter,North America,Finance
INC091,2024-04-15,SQL Injection,Medium,Survey Platform,203.0.113.100,10.0.0.140,Second-order Injection,6.8,TRUE,16,Code Audit,Europe,Research
INC092,2024-04-16,Data Exfiltration,High,M&A Documents,198.51.100.120,10.0.0.141,Print to PDF,8.2,TRUE,30,DLP,Asia,Finance
INC093,2024-04-17,Malware,Low,Development VM,192.0.2.135,10.0.0.142,Test Malware,3.5,TRUE,4,Sandbox,South America,Technology
INC094,2024-04-18,DDoS,High,Ticketing System,203.0.113.155,10.0.0.143,Ticket Bombing,7.8,TRUE,9,Rate Limiting,North America,Entertainment
INC095,2024-04-19,Unauthorized Access,Critical,Nuclear Facility,198.51.100.175,10.0.0.144,Sophisticated APT,9.8,FALSE,NULL,National Security,Europe,Energy
INC096,2024-04-20,Ransomware,Medium,Accounting Firm,192.168.1.195,10.0.0.145,Tax Software Exploit,7.2,TRUE,54,IT Consultant,North America,Accounting
INC097,2024-04-21,Phishing,Medium,Cryptocurrency Users,203.0.113.200,10.0.0.146,Wallet Scam,7.4,TRUE,11,Exchange Security,Asia,Finance
INC098,2024-04-22,Malware,Critical,Satellite Control,198.51.100.220,10.0.0.147,Nation-state Malware,9.5,FALSE,NULL,Aerospace Security,North America,Aerospace
INC099,2024-04-23,Data Breach,High,Genetic Database,192.0.2.230,10.0.0.148,Research Misconduct,8.6,TRUE,42,Ethics Committee,Europe,Biotechnology
INC100,2024-04-24,SQL Injection,High,Voting System,203.0.113.240,10.0.0.149,Boolean Injection,8.8,TRUE,38,Election Commission,South America,Government
INC101,2024-04-25,DDoS,Medium,Charity Website,198.51.100.5,10.0.0.150,Hacktivism,6.4,TRUE,7,Cloudflare,North America,Non-profit
INC102,2024-04-26,Insider Threat,High,Formula Database,10.0.0.125,10.0.0.151,Recipe Theft,8.1,TRUE,28,Legal Action,Asia,Food & Beverage
INC103,2024-04-27,Ransomware,Critical,Pipeline Control,192.168.1.25,10.0.0.152,OT Ransomware,9.6,TRUE,72,SCADA Team,North America,Energy
INC104,2024-04-28,Phishing,Low,Alumni Network,203.0.113.35,10.0.0.153,Donation Scam,3.7,TRUE,5,Alumni Office,Europe,Education
INC105,2024-04-29,Malware,High,CI/CD Pipeline,198.51.100.55,10.0.0.154,Build Poisoning,8.3,TRUE,24,DevOps Security,Asia,Technology
INC106,2024-04-30,Data Breach,Critical,Passport System,192.0.2.75,10.0.0.155,Database Leak,9.7,TRUE,68,Border Security,South America,Government
INC107,2024-05-01,Unauthorized Access,Medium,Smart Building,203.0.113.95,10.0.0.156,IoT Exploitation,6.6,TRUE,15,Facilities,North America,Real Estate
INC108,2024-05-02,DDoS,Critical,Cryptocurrency Exchange,198.51.100.115,10.0.0.157,Market Manipulation,9.2,TRUE,11,Trading Halt,Europe,Finance
INC109,2024-05-03,Malware,Medium,Fleet Management,192.168.1.135,10.0.0.158,GPS Tracker Malware,6.3,TRUE,18,Fleet Security,Asia,Transportation
INC110,2024-05-04,Ransomware,High,News Organization,203.0.113.145,10.0.0.159,Publishing Disruption,8.4,TRUE,36,Editorial IT,North America,Media
INC111,2024-05-05,Phishing,High,Supply Chain,198.51.100.165,10.0.0.160,Vendor Impersonation,7.9,TRUE,20,Procurement,South America,Manufacturing
INC112,2024-05-06,SQL Injection,Critical,Healthcare Portal,192.0.2.185,10.0.0.161,Out-of-band Injection,9.3,TRUE,46,Security Team,Europe,Healthcare
INC113,2024-05-07,Data Exfiltration,Medium,Marketing Data,203.0.113.205,10.0.0.162,Cloud Misconfiguration,6.7,TRUE,22,Cloud Security,Asia,Retail
INC114,2024-05-08,Malware,Low,Conference Badge,198.51.100.225,10.0.0.163,RFID Malware,4.3,TRUE,8,Event Security,North America,Events
INC115,2024-05-09,DDoS,High,Telehealth Platform,192.168.1.240,10.0.0.164,Patient Care Disruption,8.5,TRUE,13,Healthcare IT,Europe,Healthcare
INC116,2024-05-10,Unauthorized Access,Critical,Defense Contractor,203.0.113.15,10.0.0.165,Nation-state Attack,9.9,FALSE,NULL,FBI,North America,Defense
INC117,2024-05-11,Ransomware,Medium,Real Estate Agency,198.51.100.40,10.0.0.166,Listing Encryption,7.1,TRUE,44,IT Vendor,Asia,Real Estate
INC118,2024-05-12,Phishing,Medium,Cloud Migration,192.0.2.60,10.0.0.167,IT Support Scam,6.8,TRUE,14,Help Desk,South America,Technology
INC119,2024-05-13,Malware,Critical,Power Grid,203.0.113.80,10.0.0.168,Grid Malware,9.8,FALSE,NULL,DHS,North America,Utilities
INC120,2024-05-14,Data Breach,High,Loyalty Program,198.51.100.100,10.0.0.169,Point Theft,8.2,TRUE,34,Fraud Team,Europe,Retail
INC121,2024-05-15,SQL Injection,Medium,Job Board,192.168.1.120,10.0.0.170,Resume Upload Exploit,6.5,TRUE,12,Security Scan,Asia,Recruitment
INC122,2024-05-16,DDoS,Critical,Government Portal,203.0.113.130,10.0.0.171,Protest Attack,9.1,TRUE,16,CISA,North America,Government
INC123,2024-05-17,Insider Threat,Medium,Customer List,10.0.0.130,10.0.0.172,Sales Rep Theft,7.3,TRUE,26,HR Investigation,Europe,Sales
INC124,2024-05-18,Ransomware,Critical,County Hospital,198.51.100.150,10.0.0.173,Patient Care Impact,9.7,TRUE,102,Emergency Response,South America,Healthcare
INC125,2024-05-19,Phishing,Low,Remote Workers,192.0.2.165,10.0.0.174,VPN Credential Theft,4.6,TRUE,7,Security Awareness,Asia,Corporate
INC126,2024-05-20,Malware,High,Blockchain Node,203.0.113.185,10.0.0.175,Consensus Attack,8.1,TRUE,29,Blockchain Security,North America,Cryptocurrency
INC127,2024-05-21,Data Breach,Critical,DNA Testing Service,198.51.100.200,10.0.0.176,Privacy Violation,9.4,TRUE,58,Legal Counsel,Europe,Biotechnology
INC128,2024-05-22,Unauthorized Access,Medium,Drone Control,192.168.1.220,10.0.0.177,Signal Hijacking,7.0,TRUE,16,FAA,North America,Aviation
INC129,2024-05-23,DDoS,High,eSports Tournament,203.0.113.210,10.0.0.178,Game Disruption,7.6,TRUE,8,Tournament Security,Asia,Gaming
INC130,2024-05-24,Malware,Medium,Smart Meter,198.51.100.230,10.0.0.179,Billing Fraud,6.4,TRUE,21,Utility Security,South America,Utilities
INC131,2024-05-25,Ransomware,High,Art Gallery,192.0.2.245,10.0.0.180,Collection Encryption,8.0,TRUE,50,Cultural Heritage,Europe,Arts
INC132,2024-05-26,Phishing,High,Merger Announcement,203.0.113.25,10.0.0.181,Insider Trading,8.7,TRUE,19,SEC Investigation,North America,Finance
INC133,2024-05-27,SQL Injection,Critical,Prescription System,198.51.100.45,10.0.0.182,Pharmacy Breach,9.5,TRUE,40,DEA,Asia,Pharmacy
INC134,2024-05-28,Data Exfiltration,High,Patent Applications,192.168.1.65,10.0.0.183,IP Theft,8.8,TRUE,35,Legal,Europe,Technology
INC135,2024-05-29,Malware,Low,Smart Fridge,203.0.113.75,10.0.0.184,IoT Botnet,3.3,TRUE,6,Consumer Security,North America,Consumer Goods
INC136,2024-05-30,DDoS,Critical,Election Results,198.51.100.95,10.0.0.185,Democracy Attack,9.6,TRUE,18,Homeland Security,South America,Government
INC137,2024-05-31,Unauthorized Access,High,Telescope Network,192.0.2.105,10.0.0.186,Research Sabotage,8.3,TRUE,31,NASA,North America,Research
INC138,2024-06-01,Ransomware,Medium,Podcast Studio,203.0.113.125,10.0.0.187,Content Encryption,7.2,TRUE,47,Media IT,Europe,Media
INC139,2024-06-02,Phishing,Medium,Grant Applications,198.51.100.145,10.0.0.188,Funding Scam,6.9,TRUE,13,Grant Office,Asia,Education
INC140,2024-06-03,Malware,Critical,Traffic Control,192.168.1.175,10.0.0.189,Smart City Attack,9.2,FALSE,NULL,Transportation Authority,North America,Government
